-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 01/01/2019 
Location: Latitude  61.9847   Longitude 129.6483 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 204.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M
2010,1,1,-39.2
2010,1,2,-41.31
2010,1,3,-39.65
2010,1,4,-38.62
2010,1,5,-36.23
2010,1,6,-41.95
2010,1,7,-39.78
2010,1,8,-39.14
2010,1,9,-39.73
2010,1,10,-39.46
2010,1,11,-38.47
2010,1,12,-40.73
2010,1,13,-41.98
2010,1,14,-40.33
2010,1,15,-40.63
2010,1,16,-36.09
2010,1,17,-36.63
2010,1,18,-42.02
2010,1,19,-37.56
2010,1,20,-42.03
2010,1,21,-36.87
2010,1,22,-32.82
2010,1,23,-31.96
2010,1,24,-35.88
2010,1,25,-44.88
2010,1,26,-47.87
2010,1,27,-49.11
2010,1,28,-44.7
2010,1,29,-40.72
2010,1,30,-35.91
2010,1,31,-36.22
2010,2,1,-36.95
2010,2,2,-37.81
2010,2,3,-34.95
2010,2,4,-33.35
2010,2,5,-33.23
2010,2,6,-34.0
2010,2,7,-38.09
2010,2,8,-37.77
2010,2,9,-33.48
2010,2,10,-31.1
2010,2,11,-36.04
2010,2,12,-36.54
2010,2,13,-40.2
2010,2,14,-41.33
2010,2,15,-38.78
2010,2,16,-37.85
2010,2,17,-37.47
2010,2,18,-39.41
2010,2,19,-36.67
2010,2,20,-39.13
2010,2,21,-39.3
2010,2,22,-37.3
2010,2,23,-36.45
2010,2,24,-34.67
2010,2,25,-28.7
2010,2,26,-25.77
2010,2,27,-33.17
2010,2,28,-29.52
2010,3,1,-30.43
2010,3,2,-31.13
2010,3,3,-31.93
2010,3,4,-34.13
2010,3,5,-33.56
2010,3,6,-31.14
2010,3,7,-26.1
2010,3,8,-16.63
2010,3,9,-21.43
2010,3,10,-24.52
2010,3,11,-24.28
2010,3,12,-26.51
2010,3,13,-26.09
2010,3,14,-23.35
2010,3,15,-23.56
2010,3,16,-21.35
2010,3,17,-26.04
2010,3,18,-24.49
2010,3,19,-24.45
2010,3,20,-22.07
2010,3,21,-20.83
2010,3,22,-16.4
2010,3,23,-16.74
2010,3,24,-15.24
2010,3,25,-19.94
2010,3,26,-19.06
2010,3,27,-14.53
2010,3,28,-13.14
2010,3,29,-12.06
2010,3,30,-13.85
2010,3,31,-14.73
2010,4,1,-14.66
2010,4,2,-15.56
2010,4,3,-17.09
2010,4,4,-15.85
2010,4,5,-12.74
2010,4,6,-13.58
2010,4,7,-15.81
2010,4,8,-16.65
2010,4,9,-16.6
